Run_Date,unique_id,time_stamp,prefix,Country,Range Start Date,Range End Date,eval_test,RunTime,Model_Version,Model_Version_Note,Test
2020-12-11,a93c5c66-f01a-408e-a11c-431d3fc98ecf,1607692950.6305385,sl,all,2017-12-01,2019-05-29,{'rmse': 48018.0},000:00:09,0.1,supervised learning model for time-series,False
2020-12-11,ffdf9b35-b26a-4253-9f93-269b80b146de,1607692960.9471686,sl,united_kingdom,2017-11-30,2019-05-31,{'rmse': 27436.0},000:00:10,0.1,supervised learning model for time-series,False
2020-12-11,952f858f-841b-4387-b934-02e79d046793,1607693431.6721408,sl,all,2017-11-29,2019-05-31,{'rmse': 35078.0},000:00:09,0.1,supervised learning model for time-series,False
2020-12-11,ddf7e6db-016a-4394-a539-7a164c4ba35f,1607693441.1246667,sl,united_kingdom,2017-12-02,2019-05-28,{'rmse': 23961.0},000:00:09,0.1,supervised learning model for time-series,False
2020-12-11,35343f2c-5552-46ee-82de-5cfa4482451f,1607693777.1254327,sl,all,2017-12-04,2019-05-29,{'rmse': 36206.0},000:00:09,0.1,supervised learning model for time-series,False
2020-12-11,5193338f-a5e6-4b18-a7f0-1d3b2186f636,1607693786.843351,sl,united_kingdom,2017-12-04,2019-05-30,{'rmse': 44137.0},000:00:09,0.1,supervised learning model for time-series,False
2020-12-11,e5ef9996-8eb8-4a7f-adf8-b2bb2f5e26a6,1607699571.425261,sl,all,2017-11-29,2019-05-31,{'rmse': 56053.0},000:00:10,0.1,supervised learning model for time-series,False
2020-12-11,c53214c9-d52e-4dcd-bf43-f964d8ddacc9,1607699581.3212771,sl,united_kingdom,2017-12-02,2019-05-31,{'rmse': 36163.0},000:00:09,0.1,supervised learning model for time-series,False
2020-12-11,1d4b5a15-f9b5-44c6-9b27-a5b4b18e7fc2,1607699653.8149345,sl,all,2017-12-12,2019-05-31,{'rmse': 29646.0},000:00:09,0.1,supervised learning model for time-series,False
2020-12-11,a53acadb-ab96-4d82-8e3b-d754593fc4f5,1607699663.10187,sl,united_kingdom,2017-12-03,2019-05-30,{'rmse': 47285.0},000:00:09,0.1,supervised learning model for time-series,False
2020-12-11,a57f4a69-14fa-411f-ac64-44afc183325e,1607699957.8924541,sl,all,2017-11-30,2019-05-25,{'rmse': 33788.0},000:00:09,0.1,supervised learning model for time-series,False
2020-12-11,11874368-3b1e-4d2d-a51a-5b006e87ec31,1607699967.4053524,sl,united_kingdom,2017-11-30,2019-05-30,{'rmse': 51806.0},000:00:09,0.1,supervised learning model for time-series,False
2020-12-11,e928c683-c8e1-4178-b9bd-0c90dc4f970d,1607700693.215057,sl,all,2017-12-05,2019-05-31,{'rmse': 41141.0},000:00:10,0.1,supervised learning model for time-series,False
2020-12-11,8cde7a44-3c30-4273-b65c-c844c430ddfd,1607700703.111064,sl,united_kingdom,2017-12-05,2019-05-30,{'rmse': 48803.0},000:00:09,0.1,supervised learning model for time-series,False
2020-12-11,565ae7b1-3644-473f-8757-7446ba14e4fa,1607702143.2750244,sl,all,2017-12-02,2019-05-31,{'rmse': 30108.0},000:00:09,0.1,supervised learning model for time-series,False
2020-12-11,f143270e-c489-4115-b3d8-653fc526d33d,1607702152.69632,sl,united_kingdom,2017-12-08,2019-05-31,{'rmse': 32208.0},000:00:09,0.1,supervised learning model for time-series,False
2020-12-11,399dd592-7bd5-4b44-9ac2-3b83fab464db,1607702300.733668,sl,all,2017-12-02,2019-05-30,{'rmse': 41496.0},000:00:09,0.1,supervised learning model for time-series,False
2020-12-11,76d803de-259b-4977-a0f6-52b0d03de625,1607702309.87835,sl,united_kingdom,2017-11-30,2019-05-29,{'rmse': 35627.0},000:00:09,0.1,supervised learning model for time-series,False
2020-12-11,9d5d8ab4-20da-4bb4-b6a1-3d3a3fba8125,1607702457.6532974,sl,all,2017-12-03,2019-05-31,{'rmse': 46501.0},000:00:09,0.1,supervised learning model for time-series,False
2020-12-11,24a2fc1e-db1d-418f-98f3-bb82ec7d0d17,1607702466.733595,sl,united_kingdom,2017-12-02,2019-05-31,{'rmse': 80486.0},000:00:09,0.1,supervised learning model for time-series,False
2020-12-11,c69cfd57-2d7e-4a11-b6e5-93c909417c75,1607703205.5574002,unittest,all,2017-11-29,2019-05-30,{'rmse': 39590},000:00:10,0.1,supervised learning model for time-series,False
2020-12-11,fe574d8c-2eed-4f05-bc0b-5032a9da9cea,1607703211.6198401,unittest,united_kingdom,2017-12-02,2019-05-26,{'rmse': 36141},000:00:06,0.1,supervised learning model for time-series,False
2020-12-11,7dbe9ef4-2516-442a-9bf0-f81401c65e3b,1607703466.2500794,test,all,2017-12-01,2019-05-31,{'rmse': 43557},000:00:10,0.1,supervised learning model for time-series,False
2020-12-11,a9a34f72-feff-4631-a498-b891a261b03a,1607703472.182948,test,united_kingdom,2017-11-30,2019-05-28,{'rmse': 48063},000:00:05,0.1,supervised learning model for time-series,False
2020-12-11,21f6f487-d99d-4575-bce5-713acfbef43a,1607704235.2147074,test,all,2017-11-30,2019-05-28,{'rmse': 36773},000:00:10,0.1,supervised learning model for time-series,False
2020-12-11,fb9eba1c-735e-4438-ae8e-f3dd46674072,1607704241.3811946,test,united_kingdom,2017-12-04,2019-05-28,{'rmse': 36729},000:00:06,0.1,supervised learning model for time-series,False
2020-12-11,bcb493fb-038c-4be3-a445-661cc30cc511,1607704649.6275475,test,all,2017-11-29,2019-05-09,{'rmse': 31675.0},000:00:09,0.1,supervised learning model for time-series,False
2020-12-11,34571d8a-3732-44cb-95c7-003070d668e6,1607704658.6533883,test,united_kingdom,2017-11-30,2019-05-31,{'rmse': 37898.0},000:00:09,0.1,supervised learning model for time-series,False
2020-12-11,0893ca0c-f66a-4566-aacf-c7298fb84dc6,1607704969.381434,test,all,2017-12-05,2019-05-30,{'rmse': 37633.0},000:00:09,0.1,supervised learning model for time-series,False
2020-12-11,4745685d-569f-4813-bd66-847e36217a1e,1607704978.648782,test,united_kingdom,2017-12-01,2019-05-22,{'rmse': 32342.0},000:00:09,0.1,supervised learning model for time-series,False
2020-12-12,facda863-426a-4c0f-bd9b-692a5f6991bd,1607770035.325017,test,all,2017-11-29,2019-05-29,{'rmse': 35470},000:00:09,0.1,supervised learning model for time-series,False
2020-12-12,7e110b65-3948-4359-a493-535b88a921f7,1607770041.278145,test,united_kingdom,2017-11-30,2019-05-30,{'rmse': 38608},000:00:05,0.1,supervised learning model for time-series,False
2020-12-12,68ecb1aa-af70-4726-8417-6079a97220f9,1607770319.2930403,test,all,2017-11-29,2019-05-30,{'rmse': 40155},000:00:09,0.1,supervised learning model for time-series,False
2020-12-12,19e86135-4b7b-46c7-8296-2a912cf94fe1,1607770325.2774148,test,united_kingdom,2017-12-01,2019-05-29,{'rmse': 47641},000:00:05,0.1,supervised learning model for time-series,False
2020-12-12,f8622114-3ad0-46f4-82e7-13fc700fec39,1607785259.521012,sl,all,2017-11-29,2019-05-31,{'rmse': 17348},000:00:19,0.1,supervised learning model for time-series,False
2020-12-12,2ae932a1-44f2-4736-9c99-18f1bb21cd46,1607785272.3366716,sl,eire,2017-11-29,2019-05-31,{'rmse': 1305},000:00:12,0.1,supervised learning model for time-series,False
2020-12-12,ed785e5c-9860-4c98-bddb-55905be79cf8,1607785283.451222,sl,france,2017-11-29,2019-05-31,{'rmse': 623},000:00:11,0.1,supervised learning model for time-series,False
2020-12-12,0f9fa82b-de99-489c-a854-4f40196df73a,1607785303.3427365,sl,germany,2017-11-29,2019-05-31,{'rmse': 474},000:00:19,0.1,supervised learning model for time-series,False
2020-12-12,ff18d40b-0d23-476d-8ebd-76e78ad3c172,1607785313.2353961,sl,hong_kong,2018-04-19,2019-05-01,{'rmse': 734},000:00:09,0.1,supervised learning model for time-series,False
2020-12-12,6f049ed2-8ec6-40b5-aa0c-5351b77f2036,1607785338.8213851,sl,netherlands,2017-11-30,2019-05-31,{'rmse': 112},000:00:25,0.1,supervised learning model for time-series,False
2020-12-12,5d0c803a-6c12-48e8-8397-0835570edcc6,1607785357.9112947,sl,norway,2017-12-05,2019-05-11,{'rmse': 77},000:00:19,0.1,supervised learning model for time-series,False
2020-12-12,40b2de08-b472-4630-88d1-17344026c885,1607785375.0697913,sl,portugal,2017-11-29,2019-05-31,{'rmse': 197},000:00:17,0.1,supervised learning model for time-series,False
2020-12-12,deebee36-7619-4f69-92b6-09928c07c6b2,1607785383.571052,sl,singapore,2018-04-25,2019-05-12,{'rmse': 3133},000:00:08,0.1,supervised learning model for time-series,False
2020-12-12,f62fc2fe-3ea7-4727-a8d3-a328b2b912f0,1607785396.313331,sl,spain,2017-12-01,2019-05-31,{'rmse': 196},000:00:12,0.1,supervised learning model for time-series,False
2020-12-12,b71f943b-262f-4cfc-a69d-398ea35583c3,1607785411.944405,sl,united_kingdom,2017-11-29,2019-05-31,{'rmse': 19591},000:00:15,0.1,supervised learning model for time-series,False
